"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"284","ENSG00000154188","","angiopoietin 1(ANGPT1)","Homo sapiens"
"285","ENSG00000091879","","angiopoietin 2(ANGPT2)","Homo sapiens"
"286","ENSG00000029534","","ankyrin 1(ANK1)","Homo sapiens"
"287","ENSG00000145362","","ankyrin 2(ANK2)","Homo sapiens"
"288","ENSG00000151150","","ankyrin 3(ANK3)","Homo sapiens"
"290","ENSG00000166825","","alanyl aminopeptidase, membrane(ANPEP)","Homo sapiens"
"291","ENSG00000151729","","solute carrier family 25 member 4(SLC25A4)","Homo sapiens"
"292","ENSG00000005022","","solute carrier family 25 member 5(SLC25A5)","Homo sapiens"
"293","ENSG00000169100","","solute carrier family 25 member 6(SLC25A6)","Homo sapiens"
"301","ENSG00000135046","","annexin A1(ANXA1)","Homo sapiens"
"302","ENSG00000182718","","annexin A2(ANXA2)","Homo sapiens"
"306","ENSG00000138772","","annexin A3(ANXA3)","Homo sapiens"
"307","ENSG00000196975","","annexin A4(ANXA4)","Homo sapiens"
"308","ENSG00000164111","","annexin A5(ANXA5)","Homo sapiens"
"309","ENSG00000197043","","annexin A6(ANXA6)","Homo sapiens"
"310","ENSG00000138279","","annexin A7(ANXA7)","Homo sapiens"
"311","ENSG00000122359","","annexin A11(ANXA11)","Homo sapiens"
"312","ENSG00000104537","","annexin A13(ANXA13)","Homo sapiens"
"313","ENSG00000136250","","acyloxyacyl hydrolase(AOAH)","Homo sapiens"
"314","ENSG00000131480","","amine oxidase copper containing 2(AOC2)","Homo sapiens"
"316","ENSG00000138356","","aldehyde oxidase 1(AOX1)","Homo sapiens"
"317","ENSG00000120868","","apoptotic peptidase activating factor 1(APAF1)","Homo sapiens"
"318","ENSG00000164978","","nudix hydrolase 2(NUDT2)","Homo sapiens"
"319","ENSG00000175336","","apolipoprotein F(APOF)","Homo sapiens"
"320","ENSG00000107282","","amyloid beta precursor protein binding family A member 1(APBA1)","Homo sapiens"
"321","ENSG00000034053","","amyloid beta precursor protein binding family A member 2(APBA2)","Homo sapiens"
"322","ENSG00000166313","","amyloid beta precursor protein binding family B member 1(APBB1)","Homo sapiens"
"323","ENSG00000163697","","amyloid beta precursor protein binding family B member 2(APBB2)","Homo sapiens"
"324","ENSG00000134982","","APC regulator of Wnt signaling pathway(APC)","Homo sapiens"
"325","ENSG00000132703","","amyloid P component, serum(APCS)","Homo sapiens"
"326","ENSG00000160224","","autoimmune regulator(AIRE)","Homo sapiens"
"327","ENSG00000164062","","acylaminoacyl-peptide hydrolase(APEH)","Homo sapiens"
"328","ENSG00000100823","","apurinic/apyrimidinic endodeoxyribonuclease 1(APEX1)","Homo sapiens"
"329","ENSG00000110330","","baculoviral IAP repeat containing 2(BIRC2)","Homo sapiens"
"330","ENSG00000023445","","baculoviral IAP repeat containing 3(BIRC3)","Homo sapiens"
"331","ENSG00000101966","","X-linked inhibitor of apoptosis(XIAP)","Homo sapiens"
"332","ENSG00000089685","","baculoviral IAP repeat containing 5(BIRC5)","Homo sapiens"
"333","ENSG00000105290","","amyloid beta precursor like protein 1(APLP1)","Homo sapiens"
"334","ENSG00000084234","","amyloid beta precursor like protein 2(APLP2)","Homo sapiens"
"335","ENSG00000118137","","apolipoprotein A1(APOA1)","Homo sapiens"
"336","ENSG00000158874","","apolipoprotein A2(APOA2)","Homo sapiens"
