gene_ID	counts	Control1	Control2	Control3
286	ANAPC16	440	399	622
287	ANAPC1P1	1	0	0
288	ANAPC2	2	7	9
150709	ANAPC4	96	82	172
348094	ANAPC5	698	705	1166
728780	ANAPC7	369	320	470
63926	ANG	201	196	307
162282	ANGEL1	34	16	26
51479	ANGEL2	255	232	383
56172	ANGPT1	0	0	0
54882	ANGPT2	28	21	39
404734	ANGPT4	0	0	0
54467	ANGPTL1	13	8	22
255239	ANGPTL2	0	0	0
126549	ANGPTL3	2	3	3
23141	ANGPTL4	27	17	53
51281	ANGPTL5	3	0	1
57037	ANGPTL6	0	0	1
57763	ANGPTL7	3	3	4
27063	ANGPTL8	0	0	0
55608	ANHX	0	0	0
29123	ANK1	24	29	44
23253	ANK2	36	33	45
88455	ANK3	1239	962	1973
124930	ANKAR	32	23	32
81573	ANKDD1A	6	2	16
338692	ANKDD1B	6	2	2
54522	ANKEF1	35	29	56
26057	ANKFN1	0	0	0
253650	ANKFY1	309	227	545
441459	ANKH	118	106	195
101926917	ANKHD1	84	62	139
348840	ANKHD1-EIF4EBP3	0	0	0
138649	ANKIB1	757	703	1129
26287	ANKK1	0	0	0
84210	ANKLE1	2	0	2
391267	ANKLE2	542	464	807
100874392	ANKMY1	8	7	15
400110	ANKMY2	53	49	118
110006327	ANKRA2	521	545	833
440482	ANKRD1	5	10	15
729171	ANKRD10	160	100	228
284232	ANKRD11	1604	1766	2950
118932	ANKRD12	706	581	1335
200539	ANKRD13A	265	246	402
170961	ANKRD13B	21	10	23
22852	ANKRD13C	146	116	240
124149	ANKRD13D	108	87	133
100101938	ANKRD16	15	17	25
84079	ANKRD17	758	782	1350
23243	ANKRD18A	95	93	174
147463	ANKRD18B	210	188	415
91074	ANKRD18CP	10	11	8
374860	ANKRD18DP	18	8	30
554226	ANKRD19P	11	7	14
149992	ANKRD2	0	0	5
338579	ANKRD20A1	0	0	0
256006	ANKRD20A11P	23	19	33
341405	ANKRD20A12P	0	0	0
651746	ANKRD20A19P	0	0	0
284615	ANKRD20A2	0	0	0
340120	ANKRD20A3	0	0	0
390616	ANKRD20A4	0	0	0
729911	ANKRD20A4-ANKRD20A20P	14	16	45
148741	ANKRD20A5P	98	90	148
375248	ANKRD20A8P	90	59	154
57730	ANKRD20A9P	7	2	12
84832	ANKRD22	9	23	25
645784	ANKRD23	41	21	44
400986	ANKRD24	12	19	13
353322	ANKRD26	225	189	420
51239	ANKRD26P1	100	108	182
91369	ANKRD26P3	39	16	34
338699	ANKRD27	228	170	334
91526	ANKRD28	248	154	346
101927547	ANKRD29	0	0	3
339416	ANKRD30A	1	1	1
157567	ANKRD30B	33	18	60
54851	ANKRD30BL	0	0	0
57182	ANKRD30BP2	0	0	0
283373	ANKRD30BP3	1	0	0
79998	ANKRD31	9	2	10
129138	ANKRD33	0	1	3
79722	ANKRD33B	0	0	0
22881	ANKRD34A	41	58	85
140731	ANKRD34B	0	4	6
100310846	ANKRD34C	0	0	1
342850	ANKRD34C-AS1	0	0	0
23783	ANKRD35	1	0	0
100131244	ANKRD36	65	61	104
441869	ANKRD36B	121	70	170
100287718	ANKRD36BP1	0	0	1
56311	ANKRD36BP2	14	13	23
122416	ANKRD36C	197	178	355
23294	ANKRD37	0	0	0
56899	ANKRD39	136	123	258
124401	ANKRD40	179	119	225
257629	ANKRD42	97	68	123
203286	ANKRD44	17	21	47
389161	ANKRD44-IT1	1	0	7
55139	ANKRD45	0	0	2
54443	ANKRD46	28	11	49
55107	ANKRD49	147	141	223
55129	ANKRD50	138	111	199
57101	ANKRD52	167	134	200
63982	ANKRD53	0	2	0
