gene_id	Ensamble	gene_name	BPH-1-1	BPH-1-2	BPH-1-3	BPH-1-4	DU145-1	DU145-2	DU145-3	DU145-4	PC3-1	PC3-2	PC3-3	PC3-4
257415	ENSG00000234545	FAM133B	2.219202033	1.969533541	1.19481731	0.983571352	0.328913636	0.764705766	0.193429456	0.405216142	0.839575207	0.707614546	0.353488459	0.40327064
219869	ENSG00000234560	OR10G8	0	0	0	0	0	0	0	0	0	0	0	0
345643	ENSG00000234602	MCIDAS	0.904549126	0.977562864	0.689520546	1.059963637	3.142569554	2.824047064	1.870787732	2.804462528	1.001838339	1.254032455	0.935315661	1.026738356
8629	ENSG00000234616	JRK	0.263421224	1.051801977	0.346369802	0.175984518	0.303169373	0.426926892	0.666823264	0.181646937	0.38531963	0.259603927	0.518686426	0.985557505
729978	ENSG00000234719	NPIPB2	0.154210081	0.051928922	0.068083218	0.016926192	0.163033592	0.06479733	0.154090198	0.216624801	0.428408669	0.385442906	0.609463479	0.469153462
3106	ENSG00000234745	HLA-B	18.66577334	29.88689985	18.4454067	17.62702874	34.55627491	23.47228742	26.51970181	21.42787495	3.108271948	3.114711491	4.100248381	5.674622383
143678	ENSG00000234776	C11orf94	0.40211189	0.058011159	0.171187985	0.397275917	0.16400059	0.380134447	0.459192126	0.396112634	0.20518863	0.258441346	0.319254434	0.478698672
285423	ENSG00000234828	IQCM	0	0	0	0	0	0	0	0	0	0	0	0
3451	ENSG00000234829	IFNA17	0	0	0	0	0	0	0	0	0	0	0	0
100534595	ENSG00000234857	HNRNPUL2-BSCL2	1.76684992	1.031651469	2.02863309	1.409303105	3.640002749	2.60518429	3.59577473	4.042570802	2.798375819	3.865178424	1.225216227	5.383697011
344	ENSG00000234906	APOC2	0	0	0	0	0	0	0	0.051796521	0	0	0	0
440829	ENSG00000234965	SHISA8	0	0	0.136274447	0	0	0	0	0	0	0	0	0
342918	ENSG00000235034	C19orf81	0.250146257	0.694994482	0.93175347	0.185339359	3.987088225	1.005126829	3.249609889	2.371937453	0.521223661	0.633099614	0.486622936	0.5211676
441869	ENSG00000235098	ANKRD65	3.89907441	4.23440421	2.226849203	3.210200977	0.010310661	0	0	0	0	0	0	0
266655	ENSG00000235106	BRD3OS	1.419137951	1.438972758	1.733245018	1.952539706	0.890221774	1.833598743	1.995772594	2.253172178	2.559479139	1.353810174	2.687492403	2.40268357
64288	ENSG00000235109	ZSCAN31	0.308183737	0.348701862	0.351002145	0.37755908	0.058648878	0.151506997	0.082118088	0.108619857	0.445206558	0.36974468	0.283185765	0.327743165
200726	ENSG00000235118	FAM237A	0	0	0	0	0	0	0	0	0	0	0	0
387882	ENSG00000235162	C12orf75	3.803057386	3.682854769	4.42561528	4.624462737	4.56083624	4.584700413	5.205526662	4.163872116	7.421532745	8.36526406	6.05327919	5.77295754
388588	ENSG00000235169	SMIM1	0	0.335968159	0.377528239	0.281654851	1.537101348	1.07805667	1.899050248	1.310508904	1.187931729	1.28255068	1.901244487	1.300912712
51236	ENSG00000235173	HGH1	1.314619558	0.94385219	1.634248723	1.388685571	3.862806495	2.649839457	4.312611621	2.698651391	5.876853685	5.207781314	3.979422202	4.783485877
90673	ENSG00000235194	PPP1R3E	0.951817898	0.710916875	0.430134269	0.579386091	0.180274679	0.157794115	0.153257471	0.160717031	0.17186386	0.218174447	0.320909137	0.33294241
390245	ENSG00000235268	KDM4E	0	0	0	0	0	0	0	0	0	0	0	0
353267	ENSG00000235272	RAMACL	17.95400488	13.1406662	18.19699255	13.93738605	9.064845334	10.39211679	14.46215731	13.26484451	10.0336288	5.563765253	5.702011131	8.505556982
729020	ENSG00000235376	RPEL1	0.700306951	0.892025865	1.179469672	1.173216033	0.115883971	0.143916829	0.243393385	0.24496906	0.543760979	0.547944187	0.338439677	0.217490177
158376	ENSG00000235387	SPAAR	0	0	0.025951156	0.025806904	0.683594737	0.32108284	0.247989182	0.120096989	0	0.029391235	0	0
100129250	ENSG00000235453	SMIM27	0.395615547	0.551267222	0.298105714	0.363910897	0.545184909	0.374019815	0.790632391	0.909364057	0.292357772	0.368254455	0.197123483	0.357272906
150372	ENSG00000235568	NFAM1	0.152779513	0.154342966	0.151753074	0.258764175	0.17652224	0.061902547	0.043616684	0.062714742	0.03897997	0.06137372	0	0.090939055
54729	ENSG00000235608	NKX1-1	0	0	0	0	0	0	0	0	0	0	0	0
