"Entrez_ID"	"Gene_symbol"	"Gene_name"	"mRNA_size"	"Frag_count"	"FPM"	"FPKM"
83692	"CD99L2"	"CD99 molecule like 2"	5762	1675	71.02624485	12.3266652
83693	"HSDL1"	"hydroxysteroid dehydrogenase like 1"	3896	350	14.8413049	3.80936984
83694	"RPS6KL1"	"ribosomal protein S6 kinase like 1"	7617	1137	48.21303904	6.329662471
83695	"RHNO1"	"RAD9-HUS1-RAD1 interacting nuclear orphan 1"	2643	1118	47.40736821	17.93695354
83696	"TRAPPC9"	"trafficking protein particle complex 9"	4598	1222	51.81735595	11.2695424
83697	"SLC4A9"	"solute carrier family 4 member 9"	3635	0	0	0
83698	"CALN1"	"calneuron 1"	10032	76	3.222683349	0.321240366
83699	"SH3BGRL2"	"SH3 domain binding glutamate rich protein like 2"	4653	1578	66.91308321	14.38063254
83700	"JAM3"	"junctional adhesion molecule 3"	5451	111	4.706813838	0.86347713
83706	"FERMT3"	"fermitin family member 3"	3066	24	1.017689479	0.331927423
83707	"TRPT1"	"tRNA phosphotransferase 1"	2210	715	30.31866571	13.71885326
83714	"NRIP2"	"nuclear receptor interacting protein 2"	2803	41	1.738552859	0.620247185
83715	"ESPN"	"espin"	4615	313	13.27236695	2.875919166
83716	"CRISPLD2"	"cysteine rich secretory protein LCCL domain containing 2"	7965	246	10.43131715	1.309644338
83719	"YPEL3"	"yippee like 3"	3181	298	12.63631102	3.972433519
83723	"FAM57B"	"family with sequence similarity 57 member B"	3606	458	19.42090755	5.385720341
83729	"INHBE"	"inhibin beta E subunit"	3015	26	1.102496935	0.365670625
83732	"RIOK1"	"RIO kinase 1"	3237	707	29.97943589	9.261487763
83733	"SLC25A18"	"solute carrier family 25 member 18"	4741	60	2.544223696	0.536642838
83734	"ATG10"	"autophagy related 10"	5449	223	9.456031405	1.73537005
83737	"ITCH"	"itchy E3 ubiquitin protein ligase"	6666	1627	68.9908659	10.34966485
83741	"TFAP2D"	"transcription factor AP-2 delta"	1856	6	0.25442237	0.137081018
83742	"MARVELD1"	"MARVEL domain containing 1"	3379	80	3.392298262	1.003935561
83743	"GRWD1"	"glutamate rich WD repeat containing 1"	5763	2428	102.9562522	17.86504464
83744	"ZNF484"	"zinc finger protein 484"	4031	181	7.675074817	1.904012607
83746	"L3MBTL2"	"L3MBTL2, polycomb repressive complex 1 subunit"	6451	964	40.87719405	6.336567052
83752	"LONP2"	"lon peptidase 2, peroxisomal"	9957	1412	59.87406432	6.013263465
83755	"KRTAP4-12"	"keratin associated protein 4-12"	2154	0	0	0
83756	"TAS1R3"	"taste 1 receptor member 3"	3433	8	0.339229826	0.098814397
83758	"RBP5"	"retinol binding protein 5"	1369	65	2.756242338	2.013325301
83759	"RBM4B"	"RNA binding motif protein 4B"	4241	638	27.05357864	6.379056505
83786	"FRMD8"	"FERM domain containing 8"	4091	1645	69.75413301	17.05063139
83787	"ARMC10"	"armadillo repeat containing 10"	4580	1659	70.3477852	15.35977843
83795	"KCNK16"	"potassium two pore domain channel subfamily K member 16"	1860	0	0	0
83844	"USP26"	"ubiquitin specific peptidase 26"	3642	0	0	0
83849	"SYT15"	"synaptotagmin 15"	12684	102	4.325180284	0.340994977
83850	"ESYT3"	"extended synaptotagmin 3"	4407	110	4.66441011	1.058409374
83851	"SYT16"	"synaptotagmin 16"	14067	70	2.968260979	0.211008813
83852	"SETDB2"	"SET domain bifurcated 2"	6156	72	3.053068436	0.495950038
83853	"ROPN1L"	"rhophilin associated tail protein 1 like"	1817	3	0.127211185	0.070011659
83854	"ANGPTL6"	"angiopoietin like 6"	1928	8	0.339229826	0.17594908
83855	"KLF16"	"Kruppel like factor 16"	2955	562	23.83089529	8.064600774
83856	"FSD1L"	"fibronectin type III and SPRY domain containing 1 like"	9877	990	41.97969099	4.250247139
83857	"TMTC1"	"transmembrane and tetratricopeptide repeat containing 1"	14636	128	5.427677219	0.370844303
83858	"ATAD3B"	"ATPase family, AAA domain containing 3B"	7682	856	36.2975914	4.725018407
