	count_sam11 sicontrol	count_sam15 siCDCA2	rpkm_sam11 siControl	rpkm_sam15 siCDCA2
MRPL34	193	415	48.27921366	81.8237564
PCNX2	137	286	4.540040176	7.470223572
EPS15L1	70	182	3.290034271	6.742208948
LOC100507002	52	88	17.98802738	23.99337303
ABCD2	1	0	0.045337301	0
SCNM1	2	6	0.232274842	0.549226982
MOB1B	335	133	9.505400164	2.974443175
BIRC5	1158	1201	103.8539529	84.89574371
TMPO-AS1	37	45	2.834362964	2.717031616
SLC7A7	3	5	0.267269892	0.351097087
PIGF	62	54	13.25073644	9.09642041
FSTL4	0	3	0	0.10638594
RB1CC1	508	449	18.45064247	12.85353427
CCDC14	139	140	7.818435914	6.206711427
MTMR1	155	190	7.819314785	7.554731565
TMEM132E	0	1	0	0.041141706
SEC22A	129	124	9.144291975	6.928041765
GRTP1	28	43	3.013378945	3.647477415
BCAS4	99	184	17.39659341	25.48445084
LINC01272	0	0	0	0
COMMD6	214	175	25.45154999	16.40464925
KMT2A	275	318	4.012913924	3.657486302
SLC30A3	14	53	1.30436757	3.892030761
LOC642366	0	0	0	0
SNORD8	0	0	0	0
ANXA8	0	1	0	0.043854866
RUFY1	93	128	7.567078824	8.208876403
CCDC103	69	173	9.287443048	18.35361485
LOC102723360	3	0	0.330199803	0
LOC101927960	0	0	0	0
SH3D19	101	132	4.404249732	4.536834447
RAB24	62	152	8.163721798	15.77496966
SMIM4	69	102	37.21182638	43.35712782
SLC22A11	0	0	0	0
CHD1L	375	382	30.12771927	24.18949429
LINC00390	0	0	0	0
ANXA5	2118	2721	320.7419227	324.7781114
SLC6A4	0	1	0	0.028891368
KAT5	73	119	7.580058376	9.739240476
P2RX7	0	0	0	0
CHID1	143	265	9.071771732	13.25044269
PAX8	0	6	0	0.282401543
HSP90AA1	6395	5996	380.0999044	280.8971116
WDR54	224	371	45.69572116	59.65266692
C2CD5	126	111	6.114321006	4.245502561
LOC100287896	23	23	2.251160071	1.774331712
SCAMP5	127	225	8.687177498	12.13070189
CEP76	158	193	12.1034959	11.65304671
MYO10	226	178	4.787848999	2.972216535
MIR4461	0	1	0	2.579140221
GLO1	2296	2107	271.7343184	196.5466202
KRT18P55	2	3	0.248355408	0.293625194
MAP9	70	42	2.312134302	1.09343443
ZNF639	325	426	23.41494191	24.1906624
COA3	245	334	73.42314107	78.89360113
ZDHHC16	287	462	33.4276344	42.41252808
MIR3682	0	0	0	0
MPV17L	40	43	4.194829318	3.55427639
CSE1L	1776	2046	118.5696785	107.6625713
KLF5	342	242	22.08965341	12.31988346
PTPN1	504	800	34.25255326	42.8529613
TNIP2	255	499	30.28315998	46.70786259
MARK4	122	149	5.634536664	5.42391762
CCDC148	4	7	0.325137996	0.448470841
OGFRP1	2	0	0.389929988	0
TMEM215	41	19	1.844326104	0.673652452
SF3B4	566	1288	68.76815437	123.3432076
SAMD5	46	17	1.761344091	0.513054775
GEMIN8	32	44	2.377627713	2.576766051
TMEM181	366	287	16.42127611	10.14930147
PI4K2A	356	804	20.58852686	36.64880024
LBX2	15	19	2.164599425	2.161067432
COL6A2	136	236	7.584506459	10.37358471
ZNF655	273	410	10.85128047	12.84489729
PI4KAP2	19	35	2.024992925	2.940129038
NT5C1A	0	1	0	0.172408651
SKA3	130	177	10.78418907	11.57299713
C2CD3	143	219	4.255493757	5.136726856
CYSRT1	6	12	1.120184375	1.76582615
PRNCR1	7	7	0.133235785	0.105014513
LOC100132057	0	1	0	0.064261406
KANK3	9	13	0.78195863	0.890252204
RAB42	7	10	1.271587139	1.431780768
MRM2	162	405	24.50202163	48.28034506
FBLN1	35	86	1.744930674	3.37937994
TAS2R42	0	0	0	0
CYTH3	273	338	14.7987465	14.44133764
CREBRF	42	47	1.167507053	1.029761186
CECR7	14	30	1.243599161	2.100400327
BLVRA	322	373	66.35845124	60.58674757
ABCC5	110	231	3.661825332	6.061014977
TBC1D9	151	250	6.66498813	8.697428745
PRKRIP1	1	3	0.111025457	0.262525965
FOCAD	413	400	16.405268	12.52338428
RAB33A	1	8	0.218543793	1.378024378
ANO4	10	16	0.572585771	0.722086078
CYB5R3	597	818	41.10363203	44.39025188
MSL3	30	28	1.464005577	1.076980762
LINS1	69	141	6.651317693	10.71287781
FTSJ3	137	283	9.321178299	15.17627269
SCARNA5	0	0	0	0
TARS2	263	385	22.83418264	26.3462549
RTN4RL2	54	68	5.890050544	5.846051168
SWSAP1	12	18	1.748350342	2.067036567
DVL1	166	336	13.40324199	21.38304183
AMIGO1	20	21	1.959907101	1.622008864
MIGA1	175	187	6.610864495	5.567884927
LINC00909	59	94	4.112448135	5.164219741
SPATA18	0	0	0	0
SLX4IP	64	45	2.556479286	1.416782735
SLC39A3	214	400	13.12879549	19.34191805
ZNF320	30	80	1.182163657	2.484704656
GTPBP4	543	858	52.23899946	65.05950375
OTUB2	111	197	6.939908077	9.707902439
RAP1A	261	210	11.87304947	7.529558339
SULT2B1	13	15	2.240501631	2.037612559
LOC102724919	0	0	0	0
CNOT2	306	294	18.00214671	13.63259831
LOC100507071	3	4	1.410562266	1.482379622
EFS	1	0	0.077611065	0
PDHA1	221	424	15.2549548	23.06815952
EGR1	174	211	13.43542567	12.84142073
MED7	94	154	15.43171058	19.92669964
OXCT1-AS1	5	0	0.70146733	0
PPARGC1A	0	0	0	0
VPS41	331	265	16.37729851	10.3344789
MLLT1	230	458	12.36264154	19.40337855
C11orf16	0	0	0	0
CAMK2D	287	311	9.874403513	8.433693244
LOC105375800	2	3	0.333305605	0.394059965
TAF1D	371	930	68.52506468	135.3901068
LOC105370177	0	1	0	0.231621816
TEF	40	14	2.077173685	0.573019359
AXL	4958	5884	245.0127465	229.1834528
DANCR	117	86	33.1358399	19.19724955
PAIP1	366	625	30.82630511	41.4905166
RPL7L1	215	332	13.27422292	16.15612365
RINL	1	0	0.07913285	0
PCDHGA10	5	2	0.255752558	0.080632183
WASH2P	1	4	0.123670338	0.389900667
LRRC1	118	135	8.985311208	8.102393337
NCBP2	493	392	44.86217044	28.11563305
SEC61A2	106	126	7.327299849	6.864945311
PCDHGB8P	0	1	0	0.096734099
RASGRF2	13	12	0.385961843	0.280808793
C1QTNF1	47	84	3.124900206	4.401959257
C5orf22	525	692	35.19571546	36.56495361
BRSK2	9	36	0.388886278	1.226058092
GPR155	52	27	1.657010023	0.678131618
POFUT2	170	280	8.535125193	11.08019602
TMEM110	114	59	5.828695851	2.377644892
MOB3A	100	134	7.26948431	7.677800791
SLC31A1	464	502	23.51527551	20.05230242
HAGHL	12	36	1.802579571	4.262301209
PARD6G	42	40	2.652622311	1.991198502
MED10	189	660	44.51915635	122.5342494
LOC101929523	5	9	1.188157617	1.685679477
LOC105371925	0	0	0	0
NPC1	2384	2691	119.9163501	106.6876836
ANKRD20A4	0	0	0	0
SCRIB	241	386	11.18384666	14.11854375
FAM193A	61	98	2.837291177	3.592763136
RHEB	449	362	52.39700653	33.29638952
AMER3	0	0	0	0
KIAA1841	46	47	2.006618633	1.61597004
SSR4P1	12	24	1.287442742	2.029487387
ALPK2	1	0	0.033170756	0
ABHD11-AS1	4	3	2.047750718	1.210505558
ZNF670-ZNF695	0	1	0	0.170559764
PRKG1-AS1	6	4	0.644864241	0.338848427
GFM2	412	348	26.12316502	17.3914687
PAXBP1-AS1	8	11	0.491293984	0.532442338
ICA1L	19	46	0.513594991	0.980061768
ABCG2	15	15	0.763066772	0.601438161
CTB-178M22.2	2	11	0.934928658	4.052934634
SMAD3	914	1182	33.41717069	34.06194125
HSD17B7	23	32	3.184316761	3.491940563
SRRM2	531	1042	13.74743969	21.2629471
XBP1	705	1659	93.79851554	173.9729277
DNAJC3-AS1	5	4	0.416775426	0.262797076
PA2G4	998	1866	92.02674384	135.6199537
SYT7	68	73	2.520814991	2.132963178
UNG	678	883	69.3894092	71.22830953
SLC36A4	366	248	14.09440636	7.527414336
PTENP1	136	87	8.407436059	4.239087247
QRICH2	2	0	0.088747122	0
PIK3C2G	0	0	0	0
ERC2-IT1	0	0	0	0
CRISP3	1	0	0.107812343	0
CDKN2B-AS1	4	6	0.230177303	0.272133617
NPHP4	48	81	2.091978595	2.782463371
RACGAP1P	142	118	12.30665933	8.060505516
HIST1H2BI	1	0	0.554111035	0
CLEC12A	0	0	0	0
JAK1	546	736	23.71090409	25.19194638
COQ8A	49	55	4.057858959	3.58997972
GADD45G	5	13	1.136838133	2.329702247
MYRIP	10	23	0.454393925	0.82373741
GNB2	845	1194	122.9650309	136.9486258
CEP164	71	100	3.017799384	3.350120702
BLOC1S2	205	301	16.89011129	19.54670612
MMGT1	482	327	22.35912333	11.95594542
LOC105377621	21	29	6.638481684	7.225633048
EEF1E1	124	125	24.11740464	19.16228678
ZMIZ1-AS1	2	2	0.199051806	0.156889746
TM2D2	488	723	32.45468358	37.89869819
SERPINA10	0	1	0	0.075258823
MIR4730	0	0	0	0
CCIN	0	2	0	0.196455354
PTGDS	4	7	1.192840012	1.645313589
SEC23A	1853	1437	108.4858573	66.31059305
LINC00998	310	252	66.60640811	42.67595994
TH	0	0	0	0
NCBP1	519	691	23.35948794	24.51333756
FABP2	1	0	0.107668529	0
GTF3C1	230	327	7.836457035	8.78148798
CCDC27	0	0	0	0
LOC100506281	1	2	0.281238702	0.44333653
DEFA6	0	0	0	0
LINC01589	11	24	4.640438582	7.980057549
SRGAP3	19	19	0.511653017	0.403277486
RFXAP	33	25	2.828614244	1.688994481
HS6ST2-AS1	0	0	0	0
PON2	718	299	105.1156004	34.50184797
KCNJ1	1	0	0.083269093	0
PNPLA3	4	6	0.345306984	0.408248933
PIGT	417	1000	44.34567406	83.81922546
GOLPH3	1599	1740	144.6906911	124.0994376
ACADM	261	274	23.12485999	19.13452145
ITPR1-AS1	2	2	0.338193467	0.266559185
TNR	0	0	0	0
SCARNA9	16	5	10.97547977	2.703348107
LIN37	21	80	4.421806061	13.27696531
MIR23A	1	0	3.317075649	0
SMG6	99	144	3.019967966	3.462247191
LINC00857	73	96	8.179868641	8.478580348
BID	467	698	42.51219021	50.08186117
ALOX12B	8	15	0.774249472	1.14422288
TSPYL4	93	108	5.451374142	4.989709186
SPTBN5	0	3	0	0.048841519
LINC00551	0	0	0	0
LOC101928446	0	0	0	0
LINC01356	21	44	2.787871146	4.603991535
AGFG1	1922	1289	53.26225864	28.15448262
TCAIM	215	174	9.515902451	6.070007218
INO80D	96	119	1.644458556	1.606671533
G3BP1	1379	1456	117.7848516	98.02006491
IFT43	92	219	12.00295262	22.52022976
DKKL1	4	1	0.89188406	0.17574252
RFNG	273	479	36.16302003	50.01105267
MIR5087	0	0	0	0
ANGPTL6	1	1	0.129282713	0.101898759
MIR4653	1	2	2.91742798	4.598948828
NUDT15	233	176	11.91303626	7.092635609
LIG1	52	91	2.702644165	3.727823621
TRUB1	471	415	33.42643964	23.2137738
XPNPEP1	204	340	16.14837874	21.21319646
MIR6785	0	0	0	0
LINC00488	0	0	0	0
FBXO39	0	0	0	0
CDIPT	391	597	49.67433906	59.78030257
ADAMTSL2	0	1	0	0.046178654
HMGCLL1	3	4	0.156898395	0.164886718
MYL3	0	0	0	0
MGME1	172	395	17.33216889	31.37256291
CLDN7	296	558	35.06622829	52.10267026
HOXB6	39	81	5.634674447	9.223965684
HLA-DQA1	1	0	0.157034061	0
OCA2	2	5	0.154233454	0.303911427
SLC4A1AP	129	140	10.51747521	8.996596866
SYT11	21	12	0.963082759	0.433764492
CELSR2	68	99	1.562235628	1.792673744
NSMF	193	479	12.78989568	25.019213
PPP4R1	1159	1186	68.46738703	55.22216696
ANKRD13C	132	118	5.6402578	3.974069598
LINC00312	3	0	0.251624374	0
LOC644656	3	8	0.635555177	1.335827656
DLEU7-AS1	0	0	0	0
ZNF778	102	142	6.845605677	7.511531443
GATA2	76	235	4.889249655	11.91584709
PPOX	80	166	10.95685622	17.9197729
CCDC188	2	0	0.7650759	0
TCF21	0	3	0	0.156739428
ZNF660	1	1	0.109817017	0.08655618
CDC42EP2	126	399	15.08179032	37.64295313
GCNT4	10	13	0.704733767	0.722099212
IL15RA	106	210	11.60901464	18.1274713
MIATNB	4	8	0.575853799	0.907759222
PKIA-AS1	0	2	0	0.189812408
LOC100506314	17	7	2.361727413	0.766491471
SLC39A4	58	97	5.319885719	7.01252595
KYNU	606	712	72.86037366	67.47256206
FCAR	0	0	0	0
ANTXR1	1198	1101	40.72603311	29.50061356
RPL17	53	87	11.03505218	14.27730417
EEF2K	100	103	3.266952542	2.652213541
STYK1	17	25	1.374454384	1.593125012
GPBP1L1	382	145	24.74584579	7.403470994
EDF1	474	1098	105.9810264	193.4998165
SEC11C	105	144	30.89354174	33.39406828
RIMBP3	3	2	0.125399546	0.065892068
CANX	7408	6065	362.3881692	233.8472571
C6orf106	967	1533	52.86874851	66.06069654
IL17D	4	6	0.520465389	0.615334905
LOC105447645	0	0	0	0
GALC	680	620	39.52463639	28.40397344
C18orf61	1	0	0.089254155	0
GPN1	358	389	44.02664043	37.70600833
SPATA33	71	107	6.09659684	7.241713572
GPI	2658	2771	141.3939931	116.1825613
TGFBR1	620	327	23.00150818	9.561825506
ANAPC4	101	117	9.142728508	8.347736836
SLN	0	1	0	0.261447091
RELN	0	0	0	0
TIMM23B	6	14	0.393095004	0.72294082
ARHGAP4	19	33	1.364408044	1.867811513
ZNF852	3	10	0.368751049	0.968814093
EEA1	109	69	3.298009614	1.645519177
PSD4	30	56	1.441634386	2.121047247
CLGN	67	90	5.749049256	6.086844038
SLC22A31	33	58	4.296147978	5.951435392
LINC00863	2	5	0.151294297	0.298119926
GLRX2	75	163	13.46255684	23.06122265
LOC105371267	0	0	0	0
