"ENTREZ_GENE_ID","Original ID","Value","Gene Name","Species"
"226","ALDOA","","aldolase, fructose-bisphosphate A(ALDOA)","Homo sapiens"
"229","ALDOB","","aldolase, fructose-bisphosphate B(ALDOB)","Homo sapiens"
"230","ALDOC","","aldolase, fructose-bisphosphate C(ALDOC)","Homo sapiens"
"231","AKR1B1","","aldo-keto reductase family 1 member B(AKR1B1)","Homo sapiens"
"238","ALK","","ALK receptor tyrosine kinase(ALK)","Homo sapiens"
"239","ALOX12","","arachidonate 12-lipoxygenase, 12S type(ALOX12)","Homo sapiens"
"240","ALOX5","","arachidonate 5-lipoxygenase(ALOX5)","Homo sapiens"
"241","ALOX5AP","","arachidonate 5-lipoxygenase activating protein(ALOX5AP)","Homo sapiens"
"242","ALOX12B","","arachidonate 12-lipoxygenase, 12R type(ALOX12B)","Homo sapiens"
"245","ALOX12P2","","arachidonate 12-lipoxygenase pseudogene 2(ALOX12P2)","Homo sapiens"
"246","ALOX15","","arachidonate 15-lipoxygenase(ALOX15)","Homo sapiens"
"247","ALOX15B","","arachidonate 15-lipoxygenase type B(ALOX15B)","Homo sapiens"
"248","ALPI","","alkaline phosphatase, intestinal(ALPI)","Homo sapiens"
"249","ALPL","","alkaline phosphatase, biomineralization associated(ALPL)","Homo sapiens"
"250","ALPP","","alkaline phosphatase, placental(ALPP)","Homo sapiens"
"257","ALX3","","ALX homeobox 3(ALX3)","Homo sapiens"
"258","AMBN","","ameloblastin(AMBN)","Homo sapiens"
"259","AMBP","","alpha-1-microglobulin/bikunin precursor(AMBP)","Homo sapiens"
"262","AMD1","","adenosylmethionine decarboxylase 1(AMD1)","Homo sapiens"
"265","AMELX","","amelogenin X-linked(AMELX)","Homo sapiens"
"266","AMELY","","amelogenin Y-linked(AMELY)","Homo sapiens"
"267","AMFR","","autocrine motility factor receptor(AMFR)","Homo sapiens"
"268","AMH","","anti-Mullerian hormone(AMH)","Homo sapiens"
"269","AMHR2","","anti-Mullerian hormone receptor type 2(AMHR2)","Homo sapiens"
"270","AMPD1","","adenosine monophosphate deaminase 1(AMPD1)","Homo sapiens"
"271","AMPD2","","adenosine monophosphate deaminase 2(AMPD2)","Homo sapiens"
"272","AMPD3","","adenosine monophosphate deaminase 3(AMPD3)","Homo sapiens"
